,id,event_id,type_id,period_id,min,sec,team_id,outcome,x,y,timestamp,date,time,last_modified
84,1515812877,39,1,1,3,20,21,1,35.7,63.4,2015-01-13T19:48:50.186,2015-01-13,19:48:50,2015-01-13T19:48:55
85,1182532643,40,1,1,3,25,21,0,62.4,81.8,2015-01-13T19:48:54.987,2015-01-13,19:48:54,2015-01-13T19:48:58
86,1784800690,47,8,1,3,30,11,1,15.9,2.9,2015-01-13T19:48:59.806,2015-01-13,19:48:59,2015-01-13T19:48:59
87,1673540009,41,5,1,3,33,21,1,71.6,101.5,2015-01-13T19:49:02.814,2015-01-13,19:49:02,2015-01-13T19:49:09
88,1440445815,48,5,1,3,33,11,0,28.4,-1.5,2015-01-13T19:49:02.814,2015-01-13,19:49:02,2015-01-13T19:49:07
89,1272350548,42,1,1,3,37,21,1,70.5,100.0,2015-01-13T19:49:06.941,2015-01-13,19:49:06,2015-01-13T19:49:08
90,690501093,43,1,1,3,39,21,1,60.0,76.0,2015-01-13T19:49:08.641,2015-01-13,19:49:08,2015-01-13T19:49:10
91,737039968,44,1,1,3,40,21,1,59.1,63.6,2015-01-13T19:49:10.246,2015-01-13,19:49:10,2015-01-13T19:49:13
92,807723175,45,1,1,3,43,21,1,57.7,46.9,2015-01-13T19:49:12.866,2015-01-13,19:49:12,2015-01-13T19:49:14
93,1008961269,46,1,1,3,44,21,1,54.2,60.5,2015-01-13T19:49:14.524,2015-01-13,19:49:14,2015-01-13T19:49:16
94,183768076,47,1,1,3,46,21,1,45.5,76.4,2015-01-13T19:49:16.403,2015-01-13,19:49:16,2015-01-13T19:49:18
95,1720703807,48,1,1,3,48,21,1,57.8,89.1,2015-01-13T19:49:18.308,2015-01-13,19:49:18,2015-01-13T19:49:21
96,1710758975,49,1,1,3,51,21,1,69.0,90.5,2015-01-13T19:49:20.945,2015-01-13,19:49:20,2015-01-13T19:49:41
97,482847732,50,1,1,3,53,21,0,89.2,95.0,2015-01-13T19:49:22.980,2015-01-13,19:49:22,2015-01-13T19:49:24
98,1271655092,49,12,1,3,55,11,1,10.6,51.0,2015-01-13T19:49:25.149,2015-01-13,19:49:25,2015-01-13T19:49:25
99,2092971343,50,12,1,3,58,11,1,22.0,62.0,2015-01-13T19:49:27.789,2015-01-13,19:49:27,2015-01-13T19:49:28
100,1809623289,51,1,1,3,59,11,0,37.5,72.6,2015-01-13T19:49:29.357,2015-01-13,19:49:29,2015-01-13T19:49:31
101,521725497,51,8,1,4,1,21,1,54.3,46.0,2015-01-13T19:49:30.896,2015-01-13,19:49:30,2015-01-13T19:49:31
102,1516569493,52,1,1,4,2,21,1,54.3,43.0,2015-01-13T19:49:32.491,2015-01-13,19:49:32,2015-01-13T19:49:34
103,1311645940,53,43,1,4,5,21,1,0.0,0.0,2015-01-13T19:49:34.704,2015-01-13,19:49:34,2015-01-14T09:00:43
104,1877444857,54,1,1,4,10,21,1,24.7,61.8,2015-01-13T19:49:40.210,2015-01-13,19:49:40,2015-01-13T19:50:05
105,281961700,55,1,1,4,11,21,1,28.4,69.1,2015-01-13T19:49:41.134,2015-01-13,19:49:41,2015-01-13T19:49:42
106,171679923,56,1,1,4,12,21,1,42.8,57.6,2015-01-13T19:49:42.465,2015-01-13,19:49:42,2015-01-13T19:49:44
107,1490144978,57,1,1,4,14,21,1,36.2,72.1,2015-01-13T19:49:43.862,2015-01-13,19:49:43,2015-01-13T19:49:45
108,1100774772,58,1,1,4,15,21,1,46.3,74.5,2015-01-13T19:49:45.534,2015-01-13,19:49:45,2015-01-13T19:49:47
109,2059277209,59,1,1,4,17,21,1,32.1,95.3,2015-01-13T19:49:46.900,2015-01-13,19:49:46,2015-01-13T19:49:51
110,468751024,60,1,1,4,21,21,1,30.6,50.7,2015-01-13T19:49:51.177,2015-01-13,19:49:51,2015-01-13T19:49:54
